spp_id,gen,vul,net_id,net_type,community,stage
31,3,1,1,down_niche,tibet,creation
28,0,12,1,down_niche,tibet,creation
8,4,1,1,down_niche,tibet,creation
35,4,3,1,down_niche,tibet,creation
25,0,10,1,down_niche,tibet,creation
33,5,2,1,down_niche,tibet,creation
27,0,17,1,down_niche,tibet,creation
21,0,15,1,down_niche,tibet,creation
14,5,1,1,down_niche,tibet,creation
6,5,2,1,down_niche,tibet,creation
1,5,0,1,down_niche,tibet,creation
19,7,0,1,down_niche,tibet,creation
32,5,3,1,down_niche,tibet,creation
16,6,0,1,down_niche,tibet,creation
4,4,0,1,down_niche,tibet,creation
15,4,0,1,down_niche,tibet,creation
11,4,1,1,down_niche,tibet,creation
36,5,2,1,down_niche,tibet,creation
17,7,0,1,atn,tibet,creation
20,7,0,1,atn,tibet,creation
29,0,4,1,atn,tibet,creation
34,6,13,1,atn,tibet,creation
7,5,0,1,atn,tibet,creation
2,8,0,1,atn,tibet,creation
23,0,9,1,atn,tibet,creation
12,4,0,1,atn,tibet,creation
18,7,0,1,atn,tibet,creation
13,6,13,1,atn,tibet,creation
9,6,0,1,atn,tibet,creation
24,0,13,1,atn,tibet,creation
10,4,3,1,atn,tibet,creation
22,0,4,1,atn,tibet,creation
26,0,13,1,atn,tibet,creation
3,7,0,1,atn,tibet,creation
5,7,0,1,atn,tibet,creation
30,0,4,1,atn,tibet,creation
31,0,9,1,atn,tibet,creation
28,0,0,1,atn,tibet,creation
8,7,0,1,atn,tibet,creation
35,6,5,1,atn,tibet,creation
25,0,17,1,atn,tibet,creation
33,4,17,1,atn,tibet,creation
27,0,5,1,atn,tibet,creation
21,0,4,1,atn,tibet,creation
14,7,0,1,atn,tibet,creation
6,8,0,1,atn,tibet,creation
1,5,0,1,atn,tibet,creation
19,5,0,1,atn,tibet,creation
32,2,13,1,atn,tibet,creation
16,6,0,1,atn,tibet,creation
4,8,0,1,atn,tibet,creation
15,6,1,1,atn,tibet,creation
11,4,1,1,atn,tibet,creation
36,6,0,1,atn,tibet,creation
17,0,10,1,down_power,tibet,burnin
20,0,15,1,down_power,tibet,burnin
29,4,0,1,down_power,tibet,burnin
7,2,1,1,down_power,tibet,burnin
2,5,1,1,down_power,tibet,burnin
23,0,13,1,down_power,tibet,burnin
12,1,0,1,down_power,tibet,burnin
18,0,11,1,down_power,tibet,burnin
13,2,0,1,down_power,tibet,burnin
9,6,1,1,down_power,tibet,burnin
24,0,12,1,down_power,tibet,burnin
10,6,0,1,down_power,tibet,burnin
22,0,12,1,down_power,tibet,burnin
26,3,0,1,down_power,tibet,burnin
3,6,1,1,down_power,tibet,burnin
5,3,1,1,down_power,tibet,burnin
30,4,1,1,down_power,tibet,burnin
31,5,0,1,down_power,tibet,burnin
28,3,0,1,down_power,tibet,burnin
8,3,1,1,down_power,tibet,burnin
25,3,1,1,down_power,tibet,burnin
27,5,2,1,down_power,tibet,burnin
21,0,13,1,down_power,tibet,burnin
14,3,1,1,down_power,tibet,burnin
6,3,2,1,down_power,tibet,burnin
1,5,0,1,down_power,tibet,burnin
19,0,10,1,down_power,tibet,burnin
32,4,1,1,down_power,tibet,burnin
16,9,2,1,down_power,tibet,burnin
4,7,1,1,down_power,tibet,burnin
15,18,1,1,down_power,tibet,burnin
11,5,1,1,down_power,tibet,burnin
17,0,22,1,metaweb,tibet,burnin
20,0,22,1,metaweb,tibet,burnin
29,8,0,1,metaweb,tibet,burnin
7,8,0,1,metaweb,tibet,burnin
2,8,0,1,metaweb,tibet,burnin
23,8,0,1,metaweb,tibet,burnin
12,8,0,1,metaweb,tibet,burnin
18,0,22,1,metaweb,tibet,burnin
13,8,0,1,metaweb,tibet,burnin
9,8,0,1,metaweb,tibet,burnin
24,8,0,1,metaweb,tibet,burnin
10,8,0,1,metaweb,tibet,burnin
22,0,22,1,metaweb,tibet,burnin
26,8,0,1,metaweb,tibet,burnin
3,8,0,1,metaweb,tibet,burnin
5,8,0,1,metaweb,tibet,burnin
30,8,0,1,metaweb,tibet,burnin
28,8,0,1,metaweb,tibet,burnin
8,8,0,1,metaweb,tibet,burnin
25,8,0,1,metaweb,tibet,burnin
27,8,0,1,metaweb,tibet,burnin
21,0,22,1,metaweb,tibet,burnin
14,8,0,1,metaweb,tibet,burnin
6,8,0,1,metaweb,tibet,burnin
1,8,0,1,metaweb,tibet,burnin
19,0,22,1,metaweb,tibet,burnin
16,0,22,1,metaweb,tibet,burnin
4,8,0,1,metaweb,tibet,burnin
15,0,22,1,metaweb,tibet,burnin
11,8,0,1,metaweb,tibet,burnin
17,8,3,1,niche,tibet,burnin
20,2,5,1,niche,tibet,burnin
29,0,9,1,niche,tibet,burnin
34,0,1,1,niche,tibet,burnin
7,3,3,1,niche,tibet,burnin
2,4,2,1,niche,tibet,burnin
23,2,4,1,niche,tibet,burnin
12,3,2,1,niche,tibet,burnin
18,7,4,1,niche,tibet,burnin
13,7,3,1,niche,tibet,burnin
9,12,2,1,niche,tibet,burnin
24,0,5,1,niche,tibet,burnin
10,2,2,1,niche,tibet,burnin
22,3,4,1,niche,tibet,burnin
26,7,6,1,niche,tibet,burnin
3,16,2,1,niche,tibet,burnin
5,5,3,1,niche,tibet,burnin
30,0,8,1,niche,tibet,burnin
31,0,7,1,niche,tibet,burnin
28,1,6,1,niche,tibet,burnin
8,2,2,1,niche,tibet,burnin
25,0,7,1,niche,tibet,burnin
33,0,3,1,niche,tibet,burnin
27,0,5,1,niche,tibet,burnin
21,2,4,1,niche,tibet,burnin
14,0,3,1,niche,tibet,burnin
6,0,3,1,niche,tibet,burnin
1,10,2,1,niche,tibet,burnin
19,1,3,1,niche,tibet,burnin
32,0,3,1,niche,tibet,burnin
16,0,4,1,niche,tibet,burnin
4,16,3,1,niche,tibet,burnin
15,7,3,1,niche,tibet,burnin
11,7,1,1,niche,tibet,burnin
17,10,1,1,down_rand,tibet,burnin
20,0,13,1,down_rand,tibet,burnin
29,4,2,1,down_rand,tibet,burnin
7,5,1,1,down_rand,tibet,burnin
2,3,0,1,down_rand,tibet,burnin
23,0,10,1,down_rand,tibet,burnin
12,4,1,1,down_rand,tibet,burnin
18,8,1,1,down_rand,tibet,burnin
13,3,1,1,down_rand,tibet,burnin
9,4,0,1,down_rand,tibet,burnin
24,0,15,1,down_rand,tibet,burnin
10,7,1,1,down_rand,tibet,burnin
22,0,13,1,down_rand,tibet,burnin
26,0,10,1,down_rand,tibet,burnin
3,5,0,1,down_rand,tibet,burnin
5,3,1,1,down_rand,tibet,burnin
30,7,1,1,down_rand,tibet,burnin
31,3,1,1,down_rand,tibet,burnin
28,5,1,1,down_rand,tibet,burnin
8,5,2,1,down_rand,tibet,burnin
25,0,9,1,down_rand,tibet,burnin
33,4,2,1,down_rand,tibet,burnin
27,5,2,1,down_rand,tibet,burnin
21,0,13,1,down_rand,tibet,burnin
14,4,0,1,down_rand,tibet,burnin
6,5,1,1,down_rand,tibet,burnin
1,2,0,1,down_rand,tibet,burnin
19,0,14,1,down_rand,tibet,burnin
32,2,1,1,down_rand,tibet,burnin
16,6,0,1,down_rand,tibet,burnin
4,4,0,1,down_rand,tibet,burnin
15,4,0,1,down_rand,tibet,burnin
11,5,0,1,down_rand,tibet,burnin
17,0,10,1,down_link,tibet,burnin
20,0,9,1,down_link,tibet,burnin
29,2,1,1,down_link,tibet,burnin
7,4,1,1,down_link,tibet,burnin
2,1,0,1,down_link,tibet,burnin
23,0,13,1,down_link,tibet,burnin
12,4,1,1,down_link,tibet,burnin
18,0,12,1,down_link,tibet,burnin
13,3,0,1,down_link,tibet,burnin
9,3,1,1,down_link,tibet,burnin
24,0,11,1,down_link,tibet,burnin
10,3,1,1,down_link,tibet,burnin
22,0,10,1,down_link,tibet,burnin
26,4,1,1,down_link,tibet,burnin
3,5,0,1,down_link,tibet,burnin
5,4,0,1,down_link,tibet,burnin
30,5,1,1,down_link,tibet,burnin
31,5,1,1,down_link,tibet,burnin
28,4,1,1,down_link,tibet,burnin
8,4,0,1,down_link,tibet,burnin
25,4,1,1,down_link,tibet,burnin
27,5,0,1,down_link,tibet,burnin
21,0,8,1,down_link,tibet,burnin
14,3,1,1,down_link,tibet,burnin
6,4,0,1,down_link,tibet,burnin
1,2,0,1,down_link,tibet,burnin
19,0,8,1,down_link,tibet,burnin
32,3,1,1,down_link,tibet,burnin
16,9,1,1,down_link,tibet,burnin
4,3,0,1,down_link,tibet,burnin
15,7,0,1,down_link,tibet,burnin
11,4,1,1,down_link,tibet,burnin
17,0,10,1,down_niche,tibet,burnin
20,5,1,1,down_niche,tibet,burnin
7,4,1,1,down_niche,tibet,burnin
2,5,0,1,down_niche,tibet,burnin
23,5,1,1,down_niche,tibet,burnin
12,0,8,1,down_niche,tibet,burnin
18,0,10,1,down_niche,tibet,burnin
13,0,3,1,down_niche,tibet,burnin
9,5,0,1,down_niche,tibet,burnin
24,2,1,1,down_niche,tibet,burnin
10,5,0,1,down_niche,tibet,burnin
22,5,1,1,down_niche,tibet,burnin
3,5,0,1,down_niche,tibet,burnin
5,6,1,1,down_niche,tibet,burnin
8,6,0,1,down_niche,tibet,burnin
25,4,1,1,down_niche,tibet,burnin
21,3,0,1,down_niche,tibet,burnin
14,0,8,1,down_niche,tibet,burnin
6,3,0,1,down_niche,tibet,burnin
1,4,0,1,down_niche,tibet,burnin
19,0,11,1,down_niche,tibet,burnin
16,0,7,1,down_niche,tibet,burnin
4,4,0,1,down_niche,tibet,burnin
15,0,11,1,down_niche,tibet,burnin
11,4,0,1,down_niche,tibet,burnin
17,0,5,1,atn,tibet,burnin
20,0,4,1,atn,tibet,burnin
7,4,1,1,atn,tibet,burnin
2,7,0,1,atn,tibet,burnin
23,4,8,1,atn,tibet,burnin
12,0,4,1,atn,tibet,burnin
18,0,5,1,atn,tibet,burnin
13,0,4,1,atn,tibet,burnin
9,7,0,1,atn,tibet,burnin
24,6,5,1,atn,tibet,burnin
10,6,1,1,atn,tibet,burnin
22,2,7,1,atn,tibet,burnin
26,6,0,1,atn,tibet,burnin
3,8,0,1,atn,tibet,burnin
5,6,0,1,atn,tibet,burnin
8,6,5,1,atn,tibet,burnin
25,6,5,1,atn,tibet,burnin
21,0,9,1,atn,tibet,burnin
14,0,9,1,atn,tibet,burnin
6,4,3,1,atn,tibet,burnin
1,8,0,1,atn,tibet,burnin
19,0,4,1,atn,tibet,burnin
16,0,8,1,atn,tibet,burnin
4,8,0,1,atn,tibet,burnin
15,0,7,1,atn,tibet,burnin
11,6,0,1,atn,tibet,burnin
34,6,8,1,down_power,meishan,creation
43,0,16,1,down_power,meishan,creation
40,0,11,1,down_power,meishan,creation
12,3,0,1,down_power,meishan,creation
13,5,0,1,down_power,meishan,creation
24,1,6,1,down_power,meishan,creation
49,2,2,1,down_power,meishan,creation
5,19,6,1,down_power,meishan,creation
31,3,9,1,down_power,meishan,creation
38,0,15,1,down_power,meishan,creation
45,5,1,1,down_power,meishan,creation
28,2,0,1,down_power,meishan,creation
37,0,14,1,down_power,meishan,creation
8,21,7,1,down_power,meishan,creation
35,3,5,1,down_power,meishan,creation
27,7,2,1,down_power,meishan,creation
21,4,8,1,down_power,meishan,creation
6,17,7,1,down_power,meishan,creation
32,6,7,1,down_power,meishan,creation
16,2,0,1,down_power,meishan,creation
42,0,19,1,down_power,meishan,creation
15,3,7,1,down_power,meishan,creation
17,3,0,1,down_power,meishan,creation
20,3,7,1,down_power,meishan,creation
29,2,0,1,down_power,meishan,creation
7,12,4,1,down_power,meishan,creation
2,4,1,1,down_power,meishan,creation
23,3,5,1,down_power,meishan,creation
18,4,7,1,down_power,meishan,creation
9,17,5,1,down_power,meishan,creation
10,6,6,1,down_power,meishan,creation
22,6,4,1,down_power,meishan,creation
26,3,5,1,down_power,meishan,creation
3,10,3,1,down_power,meishan,creation
30,3,1,1,down_power,meishan,creation
52,3,2,1,down_power,meishan,creation
48,3,3,1,down_power,meishan,creation
51,3,2,1,down_power,meishan,creation
41,0,11,1,down_power,meishan,creation
25,6,0,1,down_power,meishan,creation
33,5,1,1,down_power,meishan,creation
39,0,15,1,down_power,meishan,creation
47,5,1,1,down_power,meishan,creation
14,3,5,1,down_power,meishan,creation
44,0,15,1,down_power,meishan,creation
1,9,4,1,down_power,meishan,creation
19,7,6,1,down_power,meishan,creation
46,2,1,1,down_power,meishan,creation
50,6,2,1,down_power,meishan,creation
4,9,0,1,down_power,meishan,creation
11,1,1,1,down_power,meishan,creation
36,24,4,1,down_power,meishan,creation
34,8,10,1,metaweb,meishan,creation
43,0,30,1,metaweb,meishan,creation
40,0,30,1,metaweb,meishan,creation
12,8,0,1,metaweb,meishan,creation
13,8,0,1,metaweb,meishan,creation
24,8,7,1,metaweb,meishan,creation
49,8,3,1,metaweb,meishan,creation
5,22,9,1,metaweb,meishan,creation
31,8,10,1,metaweb,meishan,creation
38,0,30,1,metaweb,meishan,creation
45,8,3,1,metaweb,meishan,creation
28,8,0,1,metaweb,meishan,creation
37,0,30,1,metaweb,meishan,creation
8,22,9,1,metaweb,meishan,creation
35,8,7,1,metaweb,meishan,creation
27,8,2,1,metaweb,meishan,creation
21,8,10,1,metaweb,meishan,creation
6,22,9,1,metaweb,meishan,creation
32,8,7,1,metaweb,meishan,creation
16,8,0,1,metaweb,meishan,creation
42,0,30,1,metaweb,meishan,creation
15,8,7,1,metaweb,meishan,creation
17,8,0,1,metaweb,meishan,creation
20,8,10,1,metaweb,meishan,creation
29,8,0,1,metaweb,meishan,creation
7,22,9,1,metaweb,meishan,creation
2,17,4,1,metaweb,meishan,creation
23,8,7,1,metaweb,meishan,creation
18,8,10,1,metaweb,meishan,creation
9,21,9,1,metaweb,meishan,creation
10,12,7,1,metaweb,meishan,creation
22,8,7,1,metaweb,meishan,creation
26,8,7,1,metaweb,meishan,creation
3,17,4,1,metaweb,meishan,creation
30,8,2,1,metaweb,meishan,creation
52,8,3,1,metaweb,meishan,creation
48,8,3,1,metaweb,meishan,creation
51,8,3,1,metaweb,meishan,creation
41,0,30,1,metaweb,meishan,creation
25,8,2,1,metaweb,meishan,creation
33,8,4,1,metaweb,meishan,creation
39,0,30,1,metaweb,meishan,creation
47,8,3,1,metaweb,meishan,creation
14,8,10,1,metaweb,meishan,creation
44,0,30,1,metaweb,meishan,creation
1,17,4,1,metaweb,meishan,creation
19,8,10,1,metaweb,meishan,creation
46,8,3,1,metaweb,meishan,creation
50,8,3,1,metaweb,meishan,creation
4,17,4,1,metaweb,meishan,creation
11,4,2,1,metaweb,meishan,creation
36,24,10,1,metaweb,meishan,creation
34,2,6,1,niche,meishan,creation
43,0,5,1,niche,meishan,creation
40,0,5,1,niche,meishan,creation
12,4,5,1,niche,meishan,creation
13,1,5,1,niche,meishan,creation
24,6,8,1,niche,meishan,creation
49,0,8,1,niche,meishan,creation
5,12,1,1,niche,meishan,creation
31,5,5,1,niche,meishan,creation
38,0,5,1,niche,meishan,creation
45,0,12,1,niche,meishan,creation
28,14,7,1,niche,meishan,creation
37,2,5,1,niche,meishan,creation
8,9,3,1,niche,meishan,creation
35,1,6,1,niche,meishan,creation
27,4,7,1,niche,meishan,creation
21,7,7,1,niche,meishan,creation
6,20,1,1,niche,meishan,creation
32,8,6,1,niche,meishan,creation
16,13,7,1,niche,meishan,creation
42,0,6,1,niche,meishan,creation
15,28,5,1,niche,meishan,creation
17,4,7,1,niche,meishan,creation
20,3,4,1,niche,meishan,creation
29,2,7,1,niche,meishan,creation
7,15,2,1,niche,meishan,creation
2,5,1,1,niche,meishan,creation
23,2,8,1,niche,meishan,creation
18,13,7,1,niche,meishan,creation
9,10,3,1,niche,meishan,creation
10,8,5,1,niche,meishan,creation
22,6,7,1,niche,meishan,creation
26,1,7,1,niche,meishan,creation
3,5,1,1,niche,meishan,creation
30,13,5,1,niche,meishan,creation
52,0,3,1,niche,meishan,creation
48,0,10,1,niche,meishan,creation
51,0,3,1,niche,meishan,creation
41,1,6,1,niche,meishan,creation
25,2,7,1,niche,meishan,creation
33,2,6,1,niche,meishan,creation
39,1,5,1,niche,meishan,creation
47,0,10,1,niche,meishan,creation
14,4,5,1,niche,meishan,creation
44,0,6,1,niche,meishan,creation
1,14,1,1,niche,meishan,creation
19,4,7,1,niche,meishan,creation
46,4,12,1,niche,meishan,creation
50,0,5,1,niche,meishan,creation
4,0,1,1,niche,meishan,creation
11,23,5,1,niche,meishan,creation
36,8,5,1,niche,meishan,creation
34,4,2,1,down_rand,meishan,creation
43,0,21,1,down_rand,meishan,creation
40,0,21,1,down_rand,meishan,creation
12,7,0,1,down_rand,meishan,creation
13,8,0,1,down_rand,meishan,creation
24,5,2,1,down_rand,meishan,creation
49,4,3,1,down_rand,meishan,creation
5,12,3,1,down_rand,meishan,creation
31,5,6,1,down_rand,meishan,creation
38,0,18,1,down_rand,meishan,creation
45,3,1,1,down_rand,meishan,creation
28,5,0,1,down_rand,meishan,creation
37,0,17,1,down_rand,meishan,creation
8,10,7,1,down_rand,meishan,creation
35,6,3,1,down_rand,meishan,creation
27,6,0,1,down_rand,meishan,creation
21,3,5,1,down_rand,meishan,creation
6,13,4,1,down_rand,meishan,creation
32,7,3,1,down_rand,meishan,creation
16,4,0,1,down_rand,meishan,creation
42,0,15,1,down_rand,meishan,creation
15,3,3,1,down_rand,meishan,creation
17,5,0,1,down_rand,meishan,creation
20,6,4,1,down_rand,meishan,creation
29,6,0,1,down_rand,meishan,creation
7,15,7,1,down_rand,meishan,creation
2,7,4,1,down_rand,meishan,creation
23,4,4,1,down_rand,meishan,creation
18,5,4,1,down_rand,meishan,creation
9,9,6,1,down_rand,meishan,creation
10,8,6,1,down_rand,meishan,creation
22,6,4,1,down_rand,meishan,creation
26,5,5,1,down_rand,meishan,creation
3,13,4,1,down_rand,meishan,creation
30,4,2,1,down_rand,meishan,creation
52,4,3,1,down_rand,meishan,creation
48,5,2,1,down_rand,meishan,creation
51,6,0,1,down_rand,meishan,creation
41,0,16,1,down_rand,meishan,creation
25,2,0,1,down_rand,meishan,creation
33,6,2,1,down_rand,meishan,creation
39,0,15,1,down_rand,meishan,creation
47,3,2,1,down_rand,meishan,creation
14,4,5,1,down_rand,meishan,creation
44,0,17,1,down_rand,meishan,creation
1,8,3,1,down_rand,meishan,creation
19,3,5,1,down_rand,meishan,creation
46,2,3,1,down_rand,meishan,creation
50,4,2,1,down_rand,meishan,creation
4,8,2,1,down_rand,meishan,creation
11,2,2,1,down_rand,meishan,creation
36,16,8,1,down_rand,meishan,creation
34,8,7,1,down_link,meishan,creation
43,0,13,1,down_link,meishan,creation
40,0,15,1,down_link,meishan,creation
12,4,0,1,down_link,meishan,creation
13,5,0,1,down_link,meishan,creation
24,2,4,1,down_link,meishan,creation
49,3,3,1,down_link,meishan,creation
5,11,5,1,down_link,meishan,creation
31,3,6,1,down_link,meishan,creation
38,0,14,1,down_link,meishan,creation
45,4,2,1,down_link,meishan,creation
28,5,0,1,down_link,meishan,creation
37,0,14,1,down_link,meishan,creation
8,13,7,1,down_link,meishan,creation
35,7,3,1,down_link,meishan,creation
27,5,1,1,down_link,meishan,creation
21,3,4,1,down_link,meishan,creation
6,13,6,1,down_link,meishan,creation
32,4,4,1,down_link,meishan,creation
16,5,0,1,down_link,meishan,creation
42,0,18,1,down_link,meishan,creation
15,5,4,1,down_link,meishan,creation
17,5,0,1,down_link,meishan,creation
20,3,4,1,down_link,meishan,creation
29,4,0,1,down_link,meishan,creation
7,11,6,1,down_link,meishan,creation
2,13,3,1,down_link,meishan,creation
23,4,5,1,down_link,meishan,creation
18,4,6,1,down_link,meishan,creation
9,11,4,1,down_link,meishan,creation
10,11,3,1,down_link,meishan,creation
22,2,5,1,down_link,meishan,creation
26,3,4,1,down_link,meishan,creation
3,8,2,1,down_link,meishan,creation
30,3,2,1,down_link,meishan,creation
52,4,2,1,down_link,meishan,creation
48,5,3,1,down_link,meishan,creation
51,7,3,1,down_link,meishan,creation
41,0,17,1,down_link,meishan,creation
25,5,2,1,down_link,meishan,creation
33,6,3,1,down_link,meishan,creation
39,0,16,1,down_link,meishan,creation
47,4,3,1,down_link,meishan,creation
14,3,6,1,down_link,meishan,creation
44,0,16,1,down_link,meishan,creation
